"Reporting_Date","Congressional_District","UNA","DEM","REP","Total","Net_Monthly_Change","Percent_Monthly_Change"
2019-12-31,"Statewide_Total",2385207,2318688,1336573,6114630,0,0
2020-02-01,"Statewide_Total",2388497,2320265,1337285,6120517,5887,0.0962772890591908
2020-03-01,"Statewide_Total",2396169,2331251,1342208,6146509,25992,0.424670007451985
2020-04-01,"Statewide_Total",2401457,2340478,1346137,6166324,19815,0.322378117399649
2020-05-01,"Statewide_Total",2404557,2343456,1347641,6174326,8002,0.129769373130572
2020-06-01,"Statewide_Total",2407570,2343315,1347646,6177141,2815,0.0455920208942644
2020-07-01,"Statewide_Total",2339837,2401691,1374078,6193990,16849,0.272763726779104
2020-08-01,"Statewide_Total",2299474,2443640,1390854,6212616,18626,0.300710850356555
2020-09-01,"Statewide_Total",2293360,2470200,1403024,6245885,33269,0.535507103609816
2020-10-01,"Statewide_Total",2362169,2498976,1425319,6366186,120301,1.92608413379369
2019-12-31,"1",197891,239768,88714,533385,0,0
2020-02-01,"1",198133,239940,88820,533921,536,0.100490265005578
2020-03-01,"1",199064,240957,89539,536847,2926,0.548021149196229
2020-04-01,"1",199407,241541,89905,538270,1423,0.265066210670824
2020-05-01,"1",199435,241359,89873,538063,-207,-0.0384565366823341
2020-06-01,"1",199593,241321,89886,538174,111,0.0206295545317184
2020-07-01,"1",190549,248776,92739,539414,1240,0.230408752559581
2020-08-01,"1",189693,249058,92937,539013,-401,-0.0743399318519727
2020-09-01,"1",187971,251819,94456,541635,2622,0.486444668310412
2020-10-01,"1",195743,255616,97207,556009,14374,2.65381668466772
2019-12-31,"2",203285,158485,141385,510198,0,0
2020-02-01,"2",203827,158673,141777,511371,1173,0.229910740536027
2020-03-01,"2",204256,159077,142567,513211,1840,0.359817040856834
2020-04-01,"2",204514,159505,142978,514446,1235,0.240641763329313
2020-05-01,"2",204743,159768,143293,515320,874,0.169891494928525
2020-06-01,"2",204927,159757,143506,515699,379,0.0735465341923465
2020-07-01,"2",196108,166547,147182,517290,1591,0.308513299424664
2020-08-01,"2",189572,171016,150377,518477,1187,0.229465096947554
2020-09-01,"2",190346,172142,151711,521782,3305,0.637443898186419
2020-10-01,"2",195222,173489,154645,531110,9328,1.78771977569176
2019-12-31,"3",215990,164976,154222,541660,0,0
2020-02-01,"3",216067,165019,154177,541756,96,0.0177232950559391
2020-03-01,"3",216897,165645,154763,543936,2180,0.402395174211269
2020-04-01,"3",217330,166655,155458,546212,2276,0.418431580185904
2020-05-01,"3",217553,166784,155577,546731,519,0.0950180515990128
2020-06-01,"3",217824,166791,155686,547118,387,0.070784352817016
2020-07-01,"3",204196,176171,161261,548456,1338,0.244554191234798
2020-08-01,"3",202364,179185,162906,551351,2895,0.527845442478521
2020-09-01,"3",201712,181766,164761,555211,3860,0.700098485356878
2020-10-01,"3",205599,183496,168058,564213,9002,1.62136557092709
2019-12-31,"4",228033,139714,161813,535625,0,0
2020-02-01,"4",228402,139963,162127,536622,997,0.186137689614936
2020-03-01,"4",228745,140389,162459,537859,1237,0.230516080220341
2020-04-01,"4",229145,140867,162957,539320,1461,0.271632528227658
2020-05-01,"4",229199,140844,162941,539333,13,0.00241044277979678
2020-06-01,"4",229511,140597,162893,539333,0,0
2020-07-01,"4",219422,147143,168143,541011,1678,0.311125037778144
2020-08-01,"4",219097,148736,169599,543836,2825,0.522170528880189
2020-09-01,"4",219933,149295,170308,545978,2142,0.393868739840687
2020-10-01,"4",225624,151273,173756,557125,11147,2.04165735615721
2019-12-31,"5",218209,162705,156191,542390,0,0
2020-02-01,"5",218143,162760,156152,542344,-46,-0.00848098231899556
2020-03-01,"5",219725,165021,157255,547652,5308,0.978714616553331
2020-04-01,"5",220059,165790,157389,548954,1302,0.237742215859707
2020-05-01,"5",220147,165919,157395,549152,198,0.0360685959114971
2020-06-01,"5",220196,165881,157184,548936,-216,-0.0393333721811083
2020-07-01,"5",209761,174044,160741,550212,1276,0.232449684480522
2020-08-01,"5",205931,178686,162575,552892,2680,0.487084978153875
2020-09-01,"5",207193,180232,163467,556661,3769,0.681688286319932
2020-10-01,"5",214506,182298,165029,567586,10925,1.96259482880963
2019-12-31,"6",196420,190470,78620,472257,0,0
2020-02-01,"6",196830,190661,78838,473107,850,0.17998674450564
2020-03-01,"6",196965,190573,78933,473294,187,0.0395259423343979
2020-04-01,"6",197013,190646,79062,473561,267,0.0564131385565843
2020-05-01,"6",197411,191631,79552,475609,2048,0.432468045299338
2020-06-01,"6",198019,192154,79951,477212,1603,0.337041561450687
2020-07-01,"6",196598,193833,80807,478332,1120,0.234696529005976
2020-08-01,"6",194750,195501,81455,478805,473,0.0988852930600504
2020-09-01,"6",191755,201107,83543,483623,4818,1.00625515606562
2020-10-01,"6",194024,201359,84416,486981,3358,0.694342494050117
2019-12-31,"7",218123,166916,168722,558713,0,0
2020-02-01,"7",218339,167116,168563,558977,264,0.0472514511028023
2020-03-01,"7",219039,168125,168507,560783,1806,0.323090216592096
2020-04-01,"7",219923,169597,168776,563477,2694,0.480399726810549
2020-05-01,"7",220414,169928,168680,564222,745,0.132214802023863
2020-06-01,"7",220733,169876,168518,564332,110,0.0194958721921513
2020-07-01,"7",215428,174597,170528,565753,1421,0.251802130660675
2020-08-01,"7",208023,180866,173263,567331,1578,0.278920306211368
2020-09-01,"7",209858,181573,173407,570062,2731,0.481376832924695
2020-10-01,"7",217151,184627,175038,582132,12070,2.11731355536766
2019-12-31,"8",145990,222559,38519,413231,0,0
2020-02-01,"8",146542,222969,38611,414334,1103,0.266920923164041
2020-03-01,"8",147015,223838,39052,416323,1989,0.480047497912312
2020-04-01,"8",147413,224415,39259,417629,1306,0.313698738719696
2020-05-01,"8",147492,224211,39302,417545,-84,-0.0201135457547249
2020-06-01,"8",147698,224068,39358,417618,73,0.0174831455292244
2020-07-01,"8",144224,228445,40037,419172,1554,0.372110397540336
2020-08-01,"8",141507,231993,40594,420571,1399,0.333753208706688
2020-09-01,"8",141701,232593,40812,421611,1040,0.247282860682263
2020-10-01,"8",147405,234982,41830,430806,9195,2.18092032703132
2019-12-31,"9",179709,199161,66872,452446,0,0
2020-02-01,"9",180053,199203,66895,452856,410,0.0906185489539083
2020-03-01,"9",180931,200461,67512,455894,3038,0.670853428021269
2020-04-01,"9",181568,201562,67925,458300,2406,0.527754258665391
2020-05-01,"9",181739,201604,67935,458514,214,0.0466943050403666
2020-06-01,"9",181771,201370,67869,458224,-290,-0.0632477961414482
2020-07-01,"9",177992,205222,68869,459276,1052,0.229582038478997
2020-08-01,"9",173252,210383,70195,461057,1781,0.38778425173534
2020-09-01,"9",173501,211408,70695,462847,1790,0.388238330618557
2020-10-01,"9",180137,212659,72250,472195,9348,2.01967388791544
2019-12-31,"10",168514,283582,27884,486339,0,0
2020-02-01,"10",168857,283678,27893,486863,524,0.107743775432363
2020-03-01,"10",169437,285329,28214,489713,2850,0.585380281516566
2020-04-01,"10",169752,286023,28386,490999,1286,0.262602789797289
2020-05-01,"10",169921,286076,28411,491250,251,0.0511202670473871
2020-06-01,"10",170065,285947,28426,491261,11,0.00223918575063613
2020-07-01,"10",169287,287886,28696,492664,1403,0.285591569450862
2020-08-01,"10",166973,291348,29179,494301,1637,0.332275140866798
2020-09-01,"10",165648,293593,29316,495414,1113,0.225166447164784
2020-10-01,"10",170994,298346,29937,506137,10723,2.16445235701857
2019-12-31,"11",214724,173597,175097,568363,0,0
2020-02-01,"11",214853,173620,174955,568368,5,0.000879719475053795
2020-03-01,"11",215178,174400,174862,569481,1113,0.195823832446584
2020-04-01,"11",215815,175639,175278,571921,2440,0.428460299816851
2020-05-01,"11",216131,175979,175236,572544,623,0.108931128599929
2020-06-01,"11",216345,176060,174881,572476,-68,-0.0118768164542812
2020-07-01,"11",215628,177776,175383,573971,1495,0.261146318797644
2020-08-01,"11",210126,183068,177628,575979,2008,0.349843458990088
2020-09-01,"11",209536,185257,178547,578548,2569,0.446023205707153
2020-10-01,"11",217150,188503,180415,591276,12728,2.1999903205957
2019-12-31,"12",198319,216755,78534,500023,0,0
2020-02-01,"12",198451,216663,78477,499998,-25,-0.00499977001057951
2020-03-01,"12",198917,217436,78545,501516,1518,0.303601214404858
2020-04-01,"12",199518,218238,78764,503235,1719,0.342760749407796
2020-05-01,"12",200372,219353,79446,506043,2808,0.557989805955468
2020-06-01,"12",200888,219493,79488,506758,715,0.14129234076946
2020-07-01,"12",200644,221251,79692,508439,1681,0.331716519522139
2020-08-01,"12",198186,223800,80146,509003,564,0.110927761245695
2020-09-01,"12",194206,229415,82001,512513,3510,0.689583361984114
2020-10-01,"12",198614,232328,82738,520616,8103,1.58103306647831
